Code,Source,Exchange,Symbol,Depth,Rule,Name,Method,Data Start Date
SCF/CME_FF2_FR,SCF,CME,FF,2,FR,CBOT 30-day Federal Funds,"Roll on First Day of Month, Backwards Ratio Method",01/12/1988
SCF/CME_FF2_FW,SCF,CME,FF,2,FW,CBOT 30-day Federal Funds,"Roll on First Day of Month, Calendar-Weighted Method",01/12/1988
SCF/CME_FF2_OB,SCF,CME,FF,2,OB,CBOT 30-day Federal Funds,"Roll on Open Interest Switch, Backwards Panama Canal Method",01/12/1988
SCF/CME_FF2_OF,SCF,CME,FF,2,OF,CBOT 30-day Federal Funds,"Roll on Open Interest Switch, Forwards Panama Canal Method",01/12/1988
SCF/CME_FF2_ON,SCF,CME,FF,2,ON,CBOT 30-day Federal Funds,"Roll on Open Interest Switch, No Price Adjustment",01/12/1988
SCF/CME_FF2_OR,SCF,CME,FF,2,OR,CBOT 30-day Federal Funds,"Roll on Open Interest Switch, Backwards Ratio Method",01/12/1988
SCF/CME_US1_EB,SCF,CME,US,1,EB,CBOT 30-year US Treasury Bond,"Roll on Last Trading Day, Backwards Panama Canal Method",20/12/1977
SCF/CME_US1_EF,SCF,CME,US,1,EF,CBOT 30-year US Treasury Bond,"Roll on Last Trading Day, Forwards Panama Canal Method",20/12/1977
SCF/CME_US1_EN,SCF,CME,US,1,EN,CBOT 30-year US Treasury Bond,"Roll on Last Trading Day, No Price Adjustment",20/12/1977
SCF/CME_US1_ER,SCF,CME,US,1,ER,CBOT 30-year US Treasury Bond,"Roll on Last Trading Day, Backwards Ratio Method",20/12/1977
SCF/CME_US1_EW,SCF,CME,US,1,EW,CBOT 30-year US Treasury Bond,"Roll on Last Trading Day, Calendar-Weighted Method",20/12/1977
SCF/CME_US1_FB,SCF,CME,US,1,FB,CBOT 30-year US Treasury Bond,"Roll on First Day of Month, Backwards Panama Canal Method",20/12/1977
SCF/CME_US1_FF,SCF,CME,US,1,FF,CBOT 30-year US Treasury Bond,"Roll on First Day of Month, Forwards Panama Canal Method",20/12/1977
SCF/CME_US1_FN,SCF,CME,US,1,FN,CBOT 30-year US Treasury Bond,"Roll on First Day of Month, No Price Adjustment",20/12/1977
SCF/CME_US1_FR,SCF,CME,US,1,FR,CBOT 30-year US Treasury Bond,"Roll on First Day of Month, Backwards Ratio Method",20/12/1977
SCF/CME_US1_FW,SCF,CME,US,1,FW,CBOT 30-year US Treasury Bond,"Roll on First Day of Month, Calendar-Weighted Method",20/12/1977
SCF/CME_US1_OB,SCF,CME,US,1,OB,CBOT 30-year US Treasury Bond,"Roll on Open Interest Switch, Backwards Panama Canal Method",20/12/1977
